idx,run,type,label1,sublabel1,label2,image,file,x,y,frequency-across-4runs,aspectratio
54,1,single,word,wordletter,none,S43-E4316_01000.png,S43-E4316_01000.png,310,177,4,3
55,1,single,word,wordletter,none,S34-E4046_02024.png,S34-E4046_02024.png,225,209,4,2
56,1,single,word,wordletter,none,S35-E4060_01066.png,S35-E4060_01066.png,239,180,4,2
57,1,double,word,word,number,S39-E4172_02181.png,S39-E4172_02181.png,327,38,1,3
58,1,double,word,wordletter,number,S11-E1400_03421.png,S11-E1400_03421.png,252,183,1,2
59,1,double,word,wordletter,place,S35-E4063_01154.png,S35-E4063_01154.png,162,169,1,2
60,1,double,word,wordletter,place,S43-E4310_01131.png,S43-E4310_01131.png,387,116,1,3
61,1,none,none,none,none,s009.png,s009.png,610,844,4,1
62,2,single,face,face,none,S48-E4831_00764.png,S48-E4831_00764.png,282,188,1,3
63,2,single,face,face,none,S48-E4833_00152.png,S48-E4833_00152.png,298,155,1,3
64,2,single,face,face,none,S36-E4086_00866.png,S36-E4086_00866.png,138,146,1,2
65,2,single,face,face,none,S36-E4086_00836.png,S36-E4086_00836.png,312,181,1,2
66,2,none,none,none,none,s001.png,s001.png,150,150,4,1
67,2,none,none,none,none,s002.png,s002.png,150,500,4,1
68,2,single,face,face,none,S36-E4086_01262.png,S36-E4086_01262.png,223,166,4,2
69,2,single,face,face,none,S44-E4401_00818.png,S44-E4401_00818.png,369,94,4,3
70,2,single,face,face,none,S48-E4831_00758.png,S48-E4831_00758.png,210,50,4,3
71,2,double,face,face,number,S31-E3885_02070.png,S31-E3885_02070.png,323,189,1,2
72,2,double,face,face,number,S45-E4511_00577.png,S45-E4511_00577.png,181,86,1,3
73,2,double,face,face,place,S36-E4085_01979.png,S36-E4085_01979.png,302,108,1,2
74,2,double,face,face,place,S47-E4718_01138.png,S47-E4718_01138.png,146,97,1,3
75,2,double,face,face,word,S36-E4088_01210.png,S36-E4088_01210.png,257,144,1,2
76,2,double,face,face,word,S35-E4060_00936.png,S35-E4060_00936.png,287,147,1,2
77,2,double,number,numbersingle,face,S31-E3885_00509.png,S31-E3885_00509.png,316,251,1,2
78,2,double,number,numbersingle,face,S37-E4109_02307.png,S37-E4109_02307.png,240,180,1,2
79,2,single,number,numbersingle,none,S36-E4088_00376.png,S36-E4088_00376.png,153,80,1,2
80,2,single,number,numbersingleNS,none,S39-E4166_00309.png,S39-E4166_00309.png,315,74,1,3
81,2,single,number,numbersingleNS,none,S39-E4172_01142.png,S39-E4172_01142.png,306,172,1,3
82,2,single,number,numbersingle,none,S43-E4301_03375.png,S43-E4301_03375.png,334,167,1,3
83,2,none,none,none,none,s003.png,s003.png,150,844,4,1
84,2,none,none,none,none,s004.png,s004.png,380,150,4,1
85,2,single,number,number,none,S44-E4424_03375.png,S44-E4424_03375.png,304,173,4,3
86,2,single,number,number,none,S43-E4325_02069.png,S43-E4325_02069.png,316,170,4,3
87,2,single,number,numbersingle,none,S38-E4158_01946.png,S38-E4158_01946.png,242,138,4,2
