imagename,faces,places,words,letters,numbers
873,0,0,0,1,0
874,0,0,0,1,0
875,1,1,0,1,0
876,1,0,0,1,0
877,1,1,0,0,1
878,1,1,0,0,1
879,1,0,0,0,1
880,0,1,0,0,1
881,0,1,0,1,0
882,0,1,0,1,0
883,0,1,0,1,0
884,0,1,0,0,1
885,0,1,0,0,1
886,0,1,0,0,1
887,0,1,0,0,1
888,0,1,0,0,1
889,0,1,0,1,0
890,0,1,0,1,0
891,0,1,0,1,0
892,0,1,0,1,0
893,0,1,0,1,0
894,0,0,0,1,0
895,0,0,0,1,0
896,0,1,0,1,0
897,0,1,0,1,0
898,0,1,0,1,0
899,0,1,0,1,0
900,0,1,0,1,0
901,0,1,0,1,0
902,0,0,0,1,0
903,0,1,0,1,0
904,0,1,0,1,0
905,0,1,0,0,1
906,0,0,0,0,1
907,0,0,0,0,1
908,0,0,0,0,1
909,0,1,1,0,0
910,0,1,0,0,0
911,0,0,0,0,1
912,0,0,0,1,0
913,0,0,0,0,1
914,0,0,0,0,1
915,0,0,0,0,1
916,0,0,0,0,1
917,0,0,0,0,1
918,1,1,0,0,0
919,0,1,0,0,0
920,0,0,0,1,0
921,0,0,0,1,0
922,0,0,1,1,0
923,0,0,1,1,0
924,0,1,0,0,0
925,0,1,0,0,0
926,0,0,0,0,1
927,1,0,0,0,1
928,1,0,0,0,1
929,1,0,0,0,1
930,1,0,0,0,1
931,0,0,1,0,1
932,0,0,0,0,1
933,0,0,0,0,1
934,0,0,0,0,1
935,0,0,0,0,1
936,0,0,0,0,1
937,0,0,0,0,1
938,1,0,0,0,1
939,1,0,0,0,1
940,1,0,0,0,1
941,1,1,0,0,0
942,1,1,0,0,0
943,0,0,0,0,1
944,1,0,0,0,1
945,0,0,0,0,1
946,0,0,0,0,1
947,0,1,0,0,0
948,0,0,0,1,0
949,0,0,0,1,0
950,0,0,0,1,0
951,0,0,0,0,1
952,0,1,0,0,0
953,0,0,0,0,1
954,0,0,0,0,1
955,1,0,0,0,1
956,1,1,0,0,0
957,1,1,0,0,0
958,0,1,0,0,1
959,1,1,0,0,0
960,1,1,0,0,1
961,1,1,0,0,0
962,0,1,0,0,1
963,1,1,0,0,1
964,1,1,0,0,0
965,0,1,0,0,1
966,1,1,0,0,1
967,1,1,0,0,0
968,1,1,0,0,0
969,1,1,0,0,0
970,1,1,0,0,1
971,0,1,0,0,1
